Index,q_num,sample_id,q_type,conf_A,conf_B,conf_C
0,1,n02099712_3868,mhhe,11,31,13
1,2,n02105855_15233,mehh,94,0,5
2,3,n02088238_10757,mehe,2,93,1
3,4,n02096177_11012,mehh,93,2,1
4,5,n02096051_5018,mehh,13,84,2
5,6,n02096294_4535,mehh,95,1,2
6,7,n02085620_2973,mehe,99,0,0
7,8,n02089867_671,mhhh,22,42,29
8,9,n02099429_3371,mhhh,17,23,22
9,10,n02088094_1150,mehe,0,99,0
10,11,n02087394_8570,mehh,99,0,0
11,12,n02110958_12025,mehh,1,2,94
12,13,n02110063_11105,mhhe,24,25,15
13,14,n02087046_4135,mehh,95,2,1
14,15,n02096051_3045,mehh,0,99,0
15,16,n02111129_2949,mhhe,9,26,24
16,17,n02111277_11934,mhhe,41,9,39
17,18,n02101388_5541,mhhh,21,31,14
18,19,n02085936_10719,mehh,92,4,1
19,20,n02105641_7945,mehe,0,0,99
20,21,n02105505_2382,mehh,97,0,0
21,22,n02106662_19791,mehe,99,0,0
22,23,n02109525_5264,mehe,0,99,0
23,24,n02097130_2866,mehh,92,4,2
24,25,n02092002_109,mehh,0,99,0
25,26,n02093859_3179,mehh,1,2,85
26,27,n02086240_7454,mehh,96,2,0
27,28,n02091134_7862,mhhh,33,17,23
